MSD_BM,MSD_CRW
35.999999999999886,35.99999999999993
74.42237167259857,136.84766767874217
112.97934893556413,296.69320125720947
154.12785387468384,510.0141203730001
193.37823340750649,772.0513430874043
231.15412159854233,1078.744472226932
268.87445195110865,1426.7366926736404
307.40381058031886,1812.6675356511753
348.2780392632206,2233.3727540578043
389.7825703692059,2685.8043426935938
431.8030770440314,3166.9360551963114
471.1402519966478,3675.1613025955908
511.822897162182,4208.53860940859
551.6817319634234,4765.242835481243
591.4925643794895,5343.924823369619
633.1007610063127,5942.726975727627
676.9211217003857,6560.047215455836
723.0093506543312,7194.019137193586
768.8073208008785,7842.726519732815
813.7017486085875,8504.818571438194
858.4286377985904,9178.97286752109
904.0981666536125,9865.528815614562
949.2486562836182,10563.078432292918
994.4476194554205,11269.816680659995
1041.8435841573826,11984.981220158836
1091.7006785136841,12709.372704179683
1142.3989484006868,13442.042462070689
1194.403102053668,14182.327768162644
1248.540841142415,14929.838228657407
1302.7684274126857,15684.421719244945
1357.3571397988735,16446.32134284577
1412.2188322795182,17216.27846765553
1466.9882009756966,17991.569831247747
1521.3058505639458,18772.57978286274
1577.2957364355243,19559.54148452819
1636.7807812450685,20352.85493599896
1695.3668159128497,21152.832830149127
1753.0026192717198,21959.756296292748
1810.4276508579019,22774.184594118306
1869.0984218602016,23595.92342208234
1926.5813946462642,24424.941603409945
1984.3632125363426,25261.316224305978
2044.3997784436322,26105.007788988452
2104.335958134939,26955.851496813324
2162.535291905695,27813.738001855632
2224.9009596421824,28679.343590171055
2287.169057897454,29552.94216394472
2348.6130569895086,30435.145672606217
2415.773783483866,31325.472589214954
2481.3644929383804,32223.84887990249
2545.552689146434,33129.42845095923
2612.402419050838,34042.66520591217
2674.72380657302,34964.2217410188
2736.7846826952355,35895.344142319016
2796.1906787552007,36835.947893559714
2855.6471039745743,37785.92580918463
2914.7901673453425,38745.17225498155
2977.3150575027817,39713.57322875202
3038.3895003776665,40690.876764883105
3100.165841230633,41676.91777213014
3162.2461404190376,42670.84307061069
3224.9835619389055,43671.6458683028
3289.7767085499595,44678.683636374095
3356.270346403953,45690.83039256117
3420.949057531218,46707.243037086664
3487.60871909253,47727.85864240187
3554.444723061002,48752.63554599417
3622.703440748149,49782.0012958419
3691.141387174962,50816.35428377152
3760.3419660800455,51855.12906164801
3834.2402192847576,52895.57240916453
3911.076646049826,53936.65335410982
3989.3508296294417,54977.36065166023
4064.99573125646,56025.14848860141
4137.731459542254,57079.534359110155
4206.458262254585,58138.986353872024
4274.563091704816,59202.74598634035
4341.93716584711,60262.6050655832
4410.89366894305,61317.716832638434
4478.500943590376,62367.88178967233
4543.856728149899,63412.78699307621
4606.919512367133,64450.607952347156
4670.627900501198,65480.74382511732
4732.180571185463,66502.94598041111
4793.412901972047,67517.54646162943
4857.426173986753,68525.23774679107
4923.5230537194675,69525.39856767007
4989.661377171935,70518.87182621434
5052.4809657850055,71510.5689124904
5114.469544127613,72500.18992399474
5174.691039855042,73496.85488706389
5233.275711036502,74501.95454199756
5294.392056715115,75512.69973781725
5358.478573964732,76529.08637563894
5424.220068045083,77553.40886688688
5489.171721736642,78586.06097226164
5553.642192886705,79624.61780533045
5613.809493807417,80659.35428378536
5669.442007791326,81690.83581843734
5724.188904577889,82718.09648031667
5779.5961681522485,83740.08532801508
5835.734865091131,84755.676237289
5890.974480286139,85764.38706432979
5948.198013436308,86765.85150556851
6003.603508580376,87760.2569660969
6058.195913364542,88747.11041982062
6113.468337500136,89725.80784114207
6165.716287643311,90706.04656667203
6216.532889916598,91686.78824269652
6267.833631286045,92666.89225541102
6320.011197043562,93647.61783998222
6371.320282873841,94627.47997044155
6424.445148492496,95606.06921962835
6478.873093228013,96581.55670432898
6537.491267561,97551.97820452727
6597.285705033098,98514.47311098654
6656.408149628196,99468.71430888644
6715.517153945772,100410.86490973161
6773.513137369697,101340.2861975403
6827.940781542932,102256.59911663976
6880.07151375047,103160.35791728359
6930.187293290267,104049.53857671708
6981.284435609278,104923.62432500329
7035.84966459278,105784.44302110163
7088.1573475892055,106631.03922787923
7137.93786547729,107463.62360880025
7186.880331483959,108279.57984488673
7237.090573122812,109077.4551775335
7285.768033133609,109868.59333370136
7336.946756565344,110640.6230899966
7388.954458199357,111393.80170148634
7439.7993412338865,112127.38274851558
7489.60707699609,112839.37005856218
7539.428003715393,113530.07297877932
7588.353448527508,114199.82743910306
7638.979867569794,114848.73814312158
7689.658529308036,115483.95445142647
7737.798016215559,116106.71558069665
7784.294252374688,116716.26726104414
7831.372038499247,117330.77150190547
7880.110731696096,117952.18933574428
7931.155652636672,118578.95615551522
7979.219049911404,119212.44447303013
8029.8951086366815,119852.5387490798
8080.381605797146,120499.85380026016
8130.2218636650205,121152.82470838209
8176.893470251624,121809.91720136022
8224.759935135691,122472.08171892914
8275.389086755918,123139.06279193173
8323.909255747709,123811.08556877516
8367.717442389076,124487.28988125702
8411.246624858608,125170.40435324838
8449.724609113975,125849.72222620006
8487.372151770342,126526.34262407587
8528.040502487449,127196.48412239016
8563.81306003932,127858.92011511866
8597.550395943048,128515.8826165743
8630.024841810144,129167.37556137628
8664.357676049458,129813.21245432811
8696.182227242396,130452.72373631352
8726.610849244065,131084.23068943212
8751.814678893688,131712.49043408106
8777.772190378368,132336.42659150565
8805.592731779087,132955.82043693203
8835.598789528512,133571.67318560288
8864.301628942474,134184.86001468642
8889.36209849761,134795.59346432457
8911.656201635175,135403.43199498305
8934.607291274657,136010.155652424
8958.176870276046,136615.2562388745
8985.533863178656,137215.5117370349
9017.674464546595,137812.70254607312
9052.270441876222,138405.51499883097
9084.102295654091,138995.13550282136
9117.76796526348,139581.75136847692
9150.366217361485,140165.27643954946
9183.39948364887,140749.81304311322
9213.047426706216,141335.59314689966
9244.410870431715,141916.8591961538
9280.403528296245,142485.21636000564
9315.416322264808,143042.7851614925
9347.040697910687,143593.71992008924
9380.717970982896,144134.67532392204
9411.560077881903,144664.59344665802
9441.754681318575,145182.52403285747
9474.106770137087,145688.641327607
9508.681603999838,146183.11538000446
9542.013714107195,146669.9444577066
9574.955777421006,147148.20871728673
9603.459473512125,147619.4306689031
9630.678314313049,148084.4459105313
9654.400719849162,148539.07440161234
9679.455053407226,148986.06858985886
9703.409399537686,149426.17860009716
9724.841565470726,149860.07037972574
9749.795420969476,150290.70460174122
9775.229953161193,150716.20105411034
9799.621542488576,151136.62883430498
9822.176200140682,151551.34227365273
9848.460594344118,151963.7189140392
9877.052206411301,152365.6013433583
9906.029165580678,152756.03909825635
9938.609222345169,153139.80531871802
9972.299376902956,153511.74751034222
10004.858764161398,153873.96039671142
10038.951577118798,154222.67696620373
10073.968194712153,154559.4578269828
10111.607191422805,154885.6770095169
10149.50553680657,155202.48458138952
10186.91079210048,155515.4724956124
10222.753413472541,155816.66456212694
10257.967666435658,156107.69828728325
10292.265320898492,156389.79393828625
10332.781087233412,156663.5752956568
10369.961476970351,156929.29703305353
10410.542466832245,157194.05399548376
10449.574881497769,157460.12873576244
10486.349571543273,157727.0827553967
10522.469878618962,157991.09667458283
10558.690622270282,158246.96056851256
10597.712938609315,158494.7767179629
10637.491052127654,158735.25932377545
10675.95913652318,158966.16599839315
10710.496359798219,159191.95320504403
10744.622356055823,159411.5064947846
10776.290012574007,159622.07782126113
10806.091548032846,159824.799586931
10837.867707140684,160020.06180067794
10865.84242003034,160207.21240937972
10895.711398993863,160396.43191078978
10928.548260185116,160583.56810093945
10961.820382522472,160767.6447708983
11000.341857954116,160948.62870169122
11042.474541991034,161139.3078594248
11085.173003891463,161341.27556732373
11130.74881680623,161553.44656708228
11174.733813788951,161775.66587885126
11217.4151646105,162009.98086338703
11258.442337889572,162256.80893876732
11301.0442598777,162506.72852991015
11343.270434801307,162773.69354299185
