x_pos,y_pos
2,5
-1.8334530516518281,9.61569471485943
-5.666906103303656,14.23138942971886
-9.500359154955484,18.84708414457829
-13.333812206607313,23.46277885943772
-17.167265258259143,28.07847357429715
-21.000718309910972,32.69416828915658
-24.834171361562802,37.30986300401601
-28.667624413214632,41.92555771887544
-32.50107746486646,46.54125243373487
-36.33453051651829,51.1569471485943
-40.16798356817012,55.77264186345373
-44.00143661982195,60.38833657831316
-47.83488967147378,65.00403129317259
-43.743054357100824,69.39229789401287
-39.65121904272787,73.78056449485315
-35.55938372835491,78.16883109569343
-31.46754841398195,82.55709769653372
-27.375713099608994,86.945364297374
-23.283877785236037,91.33363089821428
-26.22252312690356,96.56472672565768
-29.161168468571084,101.79582255310108
-32.09981381023861,107.02691838054447
-35.03845915190613,112.25801420798787
-37.977104493573655,117.48911003543127
-34.12320241682825,122.08774448305346
-30.269300340082843,126.68637893067564
-26.415398263337437,131.28501337829783
-22.56149618659203,135.88364782592004
-18.707594109846625,140.48228227354224
-14.853692033101218,145.08091672116444
-10.999789956355812,149.67955116878665
-7.145887879610407,154.27818561640885
-3.2919858028650015,158.87682006403105
0.5619162738804038,163.47545451165325
4.415818350625809,168.07408895927546
8.269720427371215,172.67272340689766
12.123622504116621,177.27135785451986
15.977524580862028,181.86999230214207
19.831426657607434,186.46862674976427
23.68532873435284,191.06726119738647
27.539230811098246,195.66589564500867
31.393132887843652,200.26453009263088
35.247034964589055,204.86316454025308
39.10093704133446,209.46179898787528
42.95483911807987,214.0604334354975
46.808741194825274,218.6590678831197
50.66264327157068,223.2577023307419
54.516545348316086,227.8563367783641
58.37044742506149,232.4549712259863
62.2243495018069,237.0536056736085
66.0782515785523,241.6522401212307
69.9321536552977,246.2508745688529
73.7860557320431,250.8495090164751
77.6399578087885,255.4481434640973
81.4938598855339,260.0467779117195
85.3477619622793,264.6454123593417
89.20166403902469,269.2440468069639
93.05556611577009,273.8426812545861
96.90946819251549,278.4413157022083
100.76337026926089,283.03995014983053
104.61727234600629,287.63858459745273
108.47117442275169,292.23721904507494
112.32507649949709,296.83585349269714
116.17897857624249,301.43448794031934
120.03288065298788,306.03312238794155
123.88678272973328,310.63175683556375
127.74068480647868,315.23039128318595
131.59458688322408,319.82902573080816
135.4484889599695,324.42766017843036
139.3023910367149,329.02629462605256
143.15629311346032,333.62492907367476
147.01019519020574,338.22356352129697
150.86409726695115,342.82219796891917
153.8572204230898,348.02231467647357
156.85034357922848,353.22243138402797
159.84346673536714,358.42254809158237
162.8365898915058,363.62266479913677
165.82971304764447,368.8227815066912
168.82283620378314,374.0228982142456
171.8159593599218,379.2230149218
174.80908251606047,384.4231316293544
177.80220567219914,389.6232483369088
177.23075886097314,383.65052295045916
176.65931204974714,377.67779756400955
176.08786523852115,371.70507217755994
175.51641842729515,365.73234679111033
174.94497161606915,359.7596214046607
174.37352480484316,353.7868960182111
173.80207799361716,347.8141706317615
173.23063118239116,341.8414452453119
171.8371860636369,336.00549539108766
170.44374094488262,330.16954553686344
169.05029582612835,324.3335956826392
167.65685070737408,318.497645828415
166.2634055886198,312.66169597419076
164.86996046986553,306.82574611996654
163.47651535111126,300.9897962657423
158.48151474507935,297.6656469090285
153.48651413904744,294.3414975523147
148.49151353301554,291.0173481956009
143.49651292698363,287.6931988388871
138.50151232095172,284.3690494821733
133.5065117149198,281.0449001254595
129.92535961719818,285.85897840203376
126.34420751947656,290.673056678608
122.76305542175493,295.4871349551823
119.1819033240333,300.30121323175655
115.60075122631167,305.1152915083308
112.01959912859004,309.9293697849051
108.20372117926878,314.55960471154583
104.38784322994752,319.1898396381866
100.57196528062626,323.82007456482734
96.756087331305,328.4503094914681
92.94020938198373,333.08054441810884
89.12433143266247,337.7107793447496
85.30845348334121,342.34101427139035
85.50603079477733,348.33776032287574
85.70360810621345,354.3345063743611
85.90118541764957,360.3312524258465
86.09876272908569,366.3279984773319
86.29634004052181,372.3247445288173
86.49391735195793,378.3214905803027
82.54581859634368,382.8395118524878
78.59771984072943,387.35753312467295
74.64962108511517,391.8755543968581
70.70152232950092,396.39357566904323
66.75342357388666,400.91159694122837
62.80532481827241,405.4296182134135
66.03070910405738,410.48895574010726
69.25609338984235,415.548293266801
72.48147767562732,420.60763079349476
75.70686196141229,425.6669683201885
78.93224624719726,430.72630584688227
82.15763053298222,435.785643373576
85.3830148187672,440.8449809002698
90.16041791093443,444.47491474194663
94.93782100310167,448.1048485836235
99.71522409526892,451.73478242530035
104.49262718743617,455.3647162669772
109.27003027960342,458.99465010865407
114.04743337177067,462.62458395033093
117.49481613175453,467.53534276197763
120.9421988917384,472.44610157362433
124.38958165172227,477.35686038527103
127.83696441170613,482.26761919691774
131.28434717169,487.17837800856444
134.73172993167387,492.08913682021114
138.17911269165774,496.99989563185784
141.6264954516416,501.91065444350454
146.8930347826163,504.78529589511146
152.159574113591,507.6599373467184
157.4261134445657,510.5345787983253
162.69265277554038,513.4092202499322
167.95919210651508,516.2838617015391
173.22573143748977,519.158503153146
173.68437626086973,513.1760584249444
174.14302108424968,507.1936136967428
174.60166590762964,501.2111689685412
175.0603107310096,495.2287242403396
175.51895555438955,489.246279512138
175.9776003777695,483.26383478393643
176.43624520114946,477.28139005573485
176.89489002452942,471.29894532753326
177.35353484790937,465.3165005993317
177.81217967128933,459.3340558711301
178.27082449466928,453.3516111429285
178.72946931804924,447.3691664147269
179.1881141414292,441.38672168652533
179.64675896480915,435.40427695832375
180.1054037881891,429.42183223012216
180.56404861156906,423.4393875019206
181.02269343494902,417.456942773719
