pl_BM_3,pl_BM_6,pl_CRW_6
1917.0,3834.0,3834.0000000000005
1920.0,3840.0,3840.0000000000005
1923.0,3846.0,3846.0000000000005
1926.0,3852.0,3852.0000000000005
1929.0,3858.0,3858.0000000000005
1932.0,3864.0,3864.0000000000005
1935.0,3870.0,3870.0000000000005
1938.0,3876.0,3876.0000000000005
1941.0,3882.0,3882.0000000000005
1944.0,3888.0,3888.0000000000005
1947.0,3894.0,3894.0000000000005
1950.0,3900.0,3900.0000000000005
1953.0,3906.0,3906.0000000000005
1956.0,3912.0,3912.0000000000005
1959.0,3918.0,3918.0000000000005
1962.0,3924.0,3924.0000000000005
1965.0,3930.0,3930.0000000000005
1968.0,3936.0,3936.0000000000005
1971.0,3942.0,3942.0000000000005
1974.0,3948.0,3948.0000000000005
1977.0,3954.0,3954.0000000000005
1980.0,3960.0,3960.0000000000005
1983.0,3966.0,3966.0000000000005
1986.0,3972.0,3972.0000000000005
1989.0,3978.0,3978.0000000000005
1992.0,3984.0,3984.0000000000005
1995.0,3990.0,3990.0000000000005
1998.0,3996.0,3996.0000000000005
2001.0,4002.0,4002.0000000000005
2004.0,4008.0,4008.0000000000005
2007.0,4014.0,4014.0000000000005
2010.0,4020.0,4020.0000000000005
2013.0,4026.0,4026.0000000000005
2016.0,4032.0,4032.0000000000005
2019.0,4038.0,4038.0000000000005
2022.0,4044.0,4044.0000000000005
2025.0,4050.0,4050.0000000000005
2028.0,4056.0,4056.0000000000005
2031.0,4062.0,4062.0000000000005
2034.0,4068.0,4068.0000000000005
2037.0,4074.0,4074.0000000000005
2040.0,4080.0,4080.0000000000005
2043.0,4086.0,4086.0000000000005
2046.0,4092.0,4092.0000000000005
2049.0,4098.0,4098.0
2052.0,4104.0,4104.0
2055.0,4110.0,4110.0
2058.0,4116.0,4116.0
2061.0,4122.0,4122.0
2064.0,4128.0,4128.0
2067.0,4134.0,4134.0
2070.0,4140.0,4140.0
2073.0,4146.0,4146.0
2076.0,4152.0,4152.0
2079.0,4158.0,4158.0
2082.0,4164.0,4164.0
2085.0,4170.0,4170.0
2088.0,4176.0,4176.0
2091.0,4182.0,4182.0
2094.0,4188.0,4188.0
2097.0,4194.0,4194.0
2100.0,4200.0,4200.0
2103.0,4206.0,4206.0
2106.0,4212.0,4212.0
2109.0,4218.0,4218.0
2112.0,4224.0,4224.0
2115.0,4230.0,4230.0
2118.0,4236.0,4236.0
2121.0,4242.0,4242.0
2124.0,4248.0,4248.0
2127.0,4254.0,4254.0
2130.0,4260.0,4260.0
2133.0,4266.0,4266.0
2136.0,4272.0,4272.0
2139.0,4278.0,4278.0
2142.0,4284.0,4284.0
2145.0,4290.0,4290.0
2148.0,4296.0,4296.0
2151.0,4302.0,4302.0
2154.0,4308.0,4308.0
2157.0,4314.0,4314.0
2160.0,4320.0,4320.0
2163.0,4326.0,4326.0
2166.0,4332.0,4332.0
2169.0,4338.0,4338.0
2172.0,4344.0,4344.0
2175.0,4350.0,4350.0
2178.0,4356.0,4356.0
2181.0,4362.0,4362.0
2184.0,4368.0,4368.0
2187.0,4374.0,4374.0
2190.0,4380.0,4380.0
2193.0,4386.0,4386.0
2196.0,4392.0,4392.0
2199.0,4398.0,4398.0
2202.0,4404.0,4404.0
2205.0,4410.0,4410.0
2208.0,4416.0,4416.0
2211.0,4422.0,4422.0
2214.0,4428.0,4428.0
2217.0,4434.0,4434.0
