x,y
2,5
-3.6547844193215964,2.99415524753342
-9.309568838643193,0.9883104950668402
-14.964353257964788,-1.0175342573997397
-20.619137677286385,-3.0233790098663196
-25.525161408576356,0.43073898869997773
-30.431185139866326,3.884856987266275
-35.33720887115629,7.338974985832572
-40.24323260244626,10.79309298439887
-45.14925633373623,14.247210982965168
-50.95933360637511,15.744876528394176
-56.76941087901399,17.242542073823184
-62.57948815165287,18.740207619252192
-68.38956542429175,20.2378731646812
-74.34587618610392,19.515126937627418
-80.3021869479161,18.792380710573635
-86.25849770972827,18.069634483519852
-92.21480847154045,17.34688825646607
-90.04578711907467,11.752663880151912
-87.8767657666089,6.158439503837755
-85.70774441414312,0.5642151275235978
-83.53872306167735,-5.030009248790559
-81.36970170921157,-10.624233625104717
-79.20068035674579,-16.218458001418874
-77.03165900428002,-21.812682377733033
-77.05074138703935,-27.81265203287865
-77.06982376979869,-33.812621688024265
-77.08890615255802,-39.812591343169885
-77.10798853531736,-45.812560998315504
-77.1270709180767,-51.812530653461124
-77.14615330083603,-57.812500308606744
-77.16523568359537,-63.81246996375236
-77.1843180663547,-69.81243961889798
-77.20340044911404,-75.8124092740436
-77.22248283187338,-81.81237892918922
-77.24156521463271,-87.81234858433484
-77.26064759739205,-93.81231823948046
-77.27972998015139,-99.81228789462608
-77.29881236291072,-105.8122575497717
-77.31789474567006,-111.81222720491732
-77.3369771284294,-117.81219686006294
-77.35605951118873,-123.81216651520856
-77.37514189394807,-129.81213617035417
-77.3942242767074,-135.81210582549977
-77.41330665946674,-141.81207548064538
-77.43238904222608,-147.81204513579098
-77.45147142498541,-153.8120147909366
-77.47055380774475,-159.8119844460822
-77.48963619050409,-165.8119541012278
-77.50871857326342,-171.8119237563734
-77.52780095602276,-177.811893411519
-77.5468833387821,-183.8118630666646
-77.56596572154143,-189.81183272181022
-77.58504810430077,-195.81180237695582
-77.6041304870601,-201.81177203210143
-77.62321286981944,-207.81174168724704
-77.64229525257878,-213.81171134239264
-77.66137763533811,-219.81168099753825
-77.68046001809745,-225.81165065268385
-77.69954240085679,-231.81162030782946
-77.71862478361612,-237.81158996297506
-77.73770716637546,-243.81155961812067
-77.7567895491348,-249.81152927326627
-77.77587193189413,-255.81149892841188
-77.79495431465347,-261.8114685835575
-77.8140366974128,-267.8114382387031
-77.83311908017214,-273.8114078938487
-77.85220146293148,-279.8113775489943
-77.87128384569081,-285.8113472041399
-80.30516708402462,-280.3271688352174
-82.73905032235842,-274.84299046629485
-85.17293356069223,-269.3588120973723
-79.43635533515466,-271.1171267058222
-73.69977710961709,-272.8754413142721
-67.96319888407952,-274.633755922722
-62.226620658541954,-276.3920705311719
-59.53819546238668,-271.02808227944377
-56.84977026623142,-265.66409402771563
-54.16134507007615,-260.3001057759875
-51.47291987392089,-254.93611752425937
-50.3828695678697,-249.03596580330526
-49.29281926181851,-243.13581408235115
-48.20276895576732,-237.23566236139703
-47.11271864971613,-231.33551064044292
-46.02266834366494,-225.4353589194888
-43.90608959686247,-219.82108297253143
-41.789510850060005,-214.20680702557405
-39.67293210325754,-208.59253107861667
-37.55635335645507,-202.9782551316593
-35.4397746096526,-197.36397918470192
-33.323195862850135,-191.74970323774454
-31.163052453848195,-197.34736171719337
-29.002909044846255,-202.9450201966422
-26.842765635844316,-208.54267867609101
-24.682622226842376,-214.14033715553984
-22.522478817840437,-219.73799563498866
-16.547291484995394,-220.2830977698296
-10.572104152150352,-220.82819990467053
-4.59691681930531,-221.37330203951146
1.3782705135397322,-221.9184041743524
7.353457846384774,-222.46350630919332
13.328645179229817,-223.00860844403425
19.30383251207486,-223.55371057887518
24.804005493699798,-225.9512295406778
30.304178475324733,-228.3487485024804
35.80435145694967,-230.746267464283
41.3045244385746,-233.1437864260856
45.938095033814825,-236.95561322421338
50.57166562905505,-240.76744002234116
55.20523622429527,-244.57926682046894
56.135303025722735,-250.50674315908748
57.0653698271502,-256.434219497706
57.995436628577664,-262.36169583632454
58.92550343000513,-268.2891721749431
57.488106964864414,-262.46389180383636
56.05071049972369,-256.63861143272965
54.61331403458297,-250.81333106162296
53.17591756944225,-244.98805069051627
51.738521104301526,-239.1627703194096
50.301124639160804,-233.3374899483029
48.86372817402008,-227.51220957719622
47.42633170887936,-221.68692920608953
45.98893524373864,-215.86164883498284
44.551538778597916,-210.03636846387616
43.114142313457194,-204.21108809276947
41.67674584831647,-198.3858077216628
40.23934938317575,-192.5605273505561
38.80195291803503,-186.7352469794494
37.364556452894305,-180.90996660834273
36.09701370462586,-175.0453834704452
34.82947095635741,-169.18080033254765
33.561928208088965,-163.3162171946501
32.29438545982052,-157.45163405675257
32.7226217795397,-151.46693576406702
33.15085809925888,-145.48223747138147
33.579094418978066,-139.49753917869592
34.00733073869725,-133.51284088601037
34.43556705841643,-127.52814259332482
29.634227895172828,-123.9299288365417
24.832888731929224,-120.3317150797586
20.03154956868562,-116.73350132297548
15.230210405442017,-113.13528756619237
10.428871242198415,-109.53707380940926
5.627532078954813,-105.93886005262615
10.11616820131906,-101.95738472794977
14.604804323683306,-97.97590940327339
19.093440446047552,-93.99443407859701
23.5820765684118,-90.01295875392063
29.56450592475556,-89.55411346806014
35.54693528109932,-89.09526818219965
41.52936463744308,-88.63642289633916
47.51179399378684,-88.17757761047866
53.19992114961332,-90.08682077444428
58.888048305439796,-91.99606393840989
64.57617546126627,-93.9053071023755
70.26430261709275,-95.81455026634112
75.68284452777999,-93.23784625498747
81.10138643846723,-90.66114224363383
86.51992834915447,-88.08443823228019
91.93847025984171,-85.50773422092655
97.92806869532068,-85.860878075054
103.91766713079964,-86.21402192918146
109.90726556627861,-86.56716578330891
115.89686400175758,-86.92030963743636
119.2190298818178,-91.91662966975652
122.54119576187803,-96.91294970207667
125.86336164193825,-101.90926973439683
131.72001404037422,-100.60557395550732
137.57666643881018,-99.30187817661782
143.43331883724613,-97.99818239772831
149.2899712356821,-96.69448661883881
155.14662363411804,-95.3907908399493
161.003276032554,-94.0870950610598
162.6756694870398,-99.84930818913767
164.34806294152563,-105.61152131721555
166.02045639601144,-111.37373444529342
167.69284985049725,-117.1359475733713
169.36524330498307,-122.89816070144917
174.0413721486134,-119.13866352260087
178.7175009922437,-115.37916634375256
183.39362983587404,-111.61966916490425
188.06975867950436,-107.86017198605595
192.74588752313468,-104.10067480720764
195.12283482198052,-98.59158036814513
197.49978212082635,-93.08248592908262
199.8767294196722,-87.57339149002011
202.25367671851802,-82.0642970509576
207.84678435516219,-79.89239765989159
213.43989199180635,-77.72049826882557
219.0329996284505,-75.54859887775955
224.62610726509467,-73.37669948669352
230.21921490173884,-71.2048000956275
224.5491897803081,-69.24245070717896
218.87916465887736,-67.28010131873042
213.20913953744662,-65.31775193028187
207.53911441601588,-63.35540254183333
201.86908929458514,-61.393053153384784
196.90168541367493,-58.0278044725414
191.93428153276471,-54.66255579169801
186.9668776518545,-51.297307110854625
181.9994737709443,-47.93205843001124
177.03206989003408,-44.56680974916785
172.06466600912387,-41.201561068324466
167.09726212821366,-37.83631238748108
162.12985824730345,-34.47106370663769
159.251534062517,-29.20653619818325
156.37320987773057,-23.94200868972881
153.49488569294414,-18.677481181274366
150.6165615081577,-13.412953672819924
147.73823732337127,-8.148426164365482
144.85991313858483,-2.8838986559110396
141.9815889537984,2.3806288525434027
139.10326476901196,7.645156360997845
136.22494058422552,12.909683869452287
133.34661639943909,18.17421137790673
130.46829221465265,23.438738886361172
127.58996802986621,28.703266394815614
124.71164384507978,33.967793903270056
127.97149902810628,39.00498996712297
131.23135421113278,44.04218603097588
134.49120939415928,49.07938209482879
137.7510645771858,54.1165781586817
132.8967837106006,50.59011289324876
128.04250284401542,47.06364762781582
123.18822197743023,43.53718236238288
118.33394111084505,40.01071709694994
113.47966024425986,36.484251831517
107.7415135992433,38.23744123380223
102.00336695422675,39.99063063608746
96.26522030921019,41.74382003837269
90.52707366419364,43.49700944065792
84.78892701917708,45.25019884294315
82.37941727794002,50.7451294891737
79.96990753670296,56.24006013540425
77.5603977954659,61.7349907816348
75.15088805422884,67.22992142786535
72.74137831299178,72.7248520740959
78.38243700469117,70.68072467180346
84.02349569639055,68.63659726951101
89.66455438808994,66.59246986721857
95.30561307978932,64.54834246492612
89.30603441786752,64.61944717231307
83.30645575594572,64.69055187970002
77.30687709402392,64.76165658708697
71.30729843210212,64.83276129447393
65.30771977018031,64.90386600186088
59.30814110825851,64.97497070924783
55.42007339833494,60.40518630699757
51.532005688411374,55.835401904747314
47.643937978487806,51.26561750249706
43.75587026856424,46.6958331002468
39.04417697597344,42.9810052016013
34.33248368338265,39.266177302955796
29.620790390791857,35.551349404310294
24.909097098201066,31.83652150566479
20.197403805610275,28.12169360701929
14.712745506426849,30.554495148698837
9.228087207243423,32.987296690378386
3.7434289080599967,35.42009823205793
-1.7412293911234293,37.85289977373748
-7.225887690306855,40.28570131541702
-12.966634734665583,42.030356975622375
-18.70738177902431,43.77501263582773
-24.448128823383037,45.51966829603308
-30.188875867741764,47.264323956238435
-35.92962291210049,49.00897961644379
-41.67036995645922,50.75363527664914
-47.411117000817946,52.498290936854495
-53.32221852270892,51.46927257069274
-59.2333200445999,50.44025420453098
-65.14442156649088,49.41123583836922
-71.05552308838185,48.382217472207465
-76.39343013483885,51.1220620596585
-81.73133718129586,53.86190664710953
-87.06924422775286,56.60175123456056
-92.40715127420987,59.34159582201159
-97.74505832066687,62.08144040946262
-103.08296536712388,64.82128499691365
-108.98206156684786,65.91703315520643
-114.88115776657185,67.0127813134992
-120.78025396629583,68.10852947179198
-126.67935016601982,69.20427763008476
-132.57844636574382,70.30002578837754
-138.47754256546781,71.39577394667032
-144.3766387651918,72.4915221049631
-150.2757349649158,73.58727026325587
-148.89340666448223,79.42586328467982
-147.51107836404864,85.26445630610377
-146.12875006361506,91.10304932752771
-144.74642176318147,96.94164234895166
-146.1773832326116,91.11477790287036
-147.6083447020417,85.28791345678906
-149.03930617147182,79.46104901070775
-153.53065201273202,83.43946735650734
-158.02199785399222,87.41788570230692
-162.51334369525242,91.3963040481065
-167.00468953651261,95.37472239390608
-172.94808626933857,96.19693603781728
-178.89148300216453,97.01914968172848
-184.8348797349905,97.84136332563968
-190.77827646781645,98.66357696955087
-196.61199632964485,100.06632875575852
-202.44571619147325,101.46908054196616
-208.27943605330165,102.87183232817381
-214.11315591513005,104.27458411438145
-216.6744034539933,98.84871911010177
-219.23565099285656,93.42285410582208
-221.79689853171982,87.9969891015424
-224.35814607058308,82.57112409726271
-226.91939360944633,77.14525909298303
-229.4806411483096,71.71939408870334
-232.04188868717284,66.29352908442365
-234.6031362260361,60.86766408014397
-237.16438376489936,55.44179907586428
-239.7256313037626,50.015934071584596
-242.28687884262587,44.59006906730491
-244.84812638148912,39.164204063025224
-247.40937392035238,33.73833905874554
-249.97062145921564,28.312474054465852
-252.5318689980789,22.886609050186166
-255.09311653694215,17.46074404590648
-257.6543640758054,12.034879041626795
-260.21561161466866,6.609014037347109
-262.7768591535319,1.1831490330674228
-265.3381066923952,-4.242715971212263
-267.8993542312584,-9.668580975491949
-270.4606017701217,-15.094445979771635
-273.02184930898494,-20.52031098405132
-275.5830968478482,-25.946175988331007
-278.14434438671145,-31.372040992610692
-280.7055919255747,-36.79790599689038
-283.26683946443796,-42.223771001170064
-285.8280870033012,-47.64963600544975
-288.3893345421645,-53.075501009729436
-290.95058208102773,-58.50136601400912
-293.511829619891,-63.92723101828881
-296.07307715875424,-69.3530960225685
-298.6343246976175,-74.77896102684818
-301.19557223648076,-80.20482603112787
-303.756819775344,-85.63069103540755
-306.31806731420727,-91.05655603968724
-308.8793148530705,-96.48242104396692
-304.08546681803705,-100.09060909574663
-299.29161878300357,-103.69879714752634
-294.4977707479701,-107.30698519930604
-289.7039227129366,-110.91517325108575
-284.91007467790314,-114.52336130286545
-280.11622664286966,-118.13154935464516
-275.3223786078362,-121.73973740642487
-270.5285305728027,-125.34792545820457
-265.7104242554032,-128.92365636449983
-260.8923179380037,-132.4993872707951
-256.0742116206042,-136.07511817709036
-261.0258477561845,-139.46352482045774
-265.97748389176473,-142.8519314638251
-270.929120027345,-146.24033810719249
-275.88075616292525,-149.62874475055986
-280.8323922985055,-153.01715139392724
-279.7846155491275,-158.9249567295373
-278.73683879974953,-164.8327620651474
-277.68906205037155,-170.74056740075747
-276.64128530099356,-176.64837273636755
-277.57806641214114,-182.57479165083834
-278.5148475232887,-188.50121056530912
-279.4516286344363,-194.4276294797799
-280.3884097455839,-200.3540483942507
-281.32519085673147,-206.28046730872148
-282.26197196787905,-212.20688622319227
-283.19875307902663,-218.13330513766306
-284.1355341901742,-224.05972405213384
-285.0723153013218,-229.98614296660463
-286.0090964124694,-235.91256188107542
-286.94587752361696,-241.8389807955462
-287.88265863476454,-247.765399710017
-288.8194397459121,-253.69181862448778
-289.7562208570597,-259.61823753895857
-290.6930019682073,-265.54465645342935
-291.62978307935487,-271.47107536790014
-292.56656419050245,-277.39749428237093
-293.50334530165003,-283.3239131968417
-294.4401264127976,-289.2503321113125
-295.3769075239452,-295.1767510257833
-296.21380981066744,-301.11809721688167
-297.0507120973897,-307.05944340798004
-297.88761438411194,-313.0007895990784
-298.7245166708342,-318.9421357901768
-293.0072304883284,-320.7622013679317
-287.2899443058226,-322.5822669456866
-281.5726581233168,-324.40233252344154
-275.855371940811,-326.22239810119646
-272.50676948474376,-331.20103863765024
-269.15816702867653,-336.179679174104
-265.8095645726093,-341.1583197105578
-262.4609621165421,-346.1369602470116
-259.11235966047485,-351.11560078346537
-255.76375720440763,-356.09424131991915
-254.84949412920534,-350.1643068321426
-253.93523105400305,-344.234372344366
-253.02096797880077,-338.30443785658946
