0,1,x_pos,y_pos
0.0,0.0,2.0,5.0
4.882828950990602,7.560289771918006,7.9904121586835215,4.660939284055748
12.202253098495412,2.3233030286730427,13.973727065533271,5.108088840098871
20.638222293225404,5.459291508493495,19.96833567109453,4.853790459980291
29.043629362797446,8.676298190921784,25.753442699917223,6.445185026097151
37.18802888634869,12.506279444241205,31.653685070323487,7.534744556578465
29.4989605940929,7.828862550588618,33.17856954084911,13.337737521553503
20.717874924244637,5.855911852069918,34.59944940727387,19.167068564236597
25.921272435648106,-1.4874289638203626,38.79656148663457,23.45475444280612
28.346480300619234,7.17965629084756,43.140804163950975,27.593299544720896
19.397813163185088,8.13952944049084,47.54593085552669,31.666978328224467
17.952265763102687,-0.7436227429469149,52.10999037527783,35.56176467668685
22.76695985753603,-8.34748497059338,57.31529082827654,38.54586373570138
21.67152942611444,-17.28057134484923,62.88436392989435,40.77867021832297
30.66676330049162,-17.5734323105945,65.9456604796273,45.93894767545578
22.27875430330045,-20.835533636893228,70.48991863974265,49.85681926271142
13.414647639607837,-19.277453711253923,74.14150409902004,54.61769351368612
9.108853659937008,-11.374281044240352,77.55272791637947,59.553638414906125
5.47668386021328,-19.608802435673788,80.98922159668687,64.47202343289803
-1.2615533131485783,-13.64255069814843,83.12427759797825,70.07929869556791
-0.23282648722895338,-22.58356412603418,85.66097805133082,75.51668325158019
-5.07983941866433,-30.166865889942706,80.97062110346369,79.25841436185449
-14.040498457738318,-29.32627705736071,78.42391722900187,84.69112081221616
-13.90871489132565,-38.325312177395716,79.72016713186292,90.5494257026544
-15.793271365246712,-47.12579210161588,80.73055640933876,96.46373999156076
-23.28724518570157,-42.141782031568155,75.81563804620562,99.90518990166213
-29.264029210925806,-48.87067887398031,71.21890597392013,103.76136083350912
-30.61080345182125,-57.76934164678277,66.55970912071614,107.5418217423262
-21.982701067279653,-55.20890237941721,61.90831759638633,111.33188201722854
-21.679896417315852,-64.20380701170544,56.78363545047037,114.45240006770192
-17.963501807677613,-56.00695327960482,51.09303820808317,116.35426836622712
-10.886752470397694,-50.44641204539856,45.485051383375406,114.22108207011884
-3.4759577568424387,-55.55328209598154,46.41618487344505,120.14839093870928
-6.894570354082461,-63.87873030673823,46.44908871574424,126.14830071612776
-9.661620257294803,-55.31465214075139,47.73975854455143,132.00783750609733
-2.1112472013548365,-60.21280145616999,48.67021255170016,137.93525307619032
-1.987247006555342,-51.21365572161887,53.37600687407924,141.6575507262265
-9.073387832996442,-56.76222384212028,58.281900572085085,145.11185340894937
-4.246338810156404,-49.16619871504895,63.5035059762035,148.0673291749947
2.3284797017571286,-55.31207225226065,67.39131978635022,152.6373295883024
5.43531644207342,-46.86532344168147,71.36702438049028,157.13107779888716
5.225151450707045,-37.867777627605065,75.04521450905112,161.87142772037583
-3.6736211581608096,-36.521729316561554,80.42363034804951,164.53087184703298
-12.3176821384134,-39.02776398704688,85.34831717410167,167.95832858130527
-14.67301572135824,-47.714098295203115,88.3131025744158,173.17465367950268
-17.80450590447181,-39.27645826773909,89.83585015628807,178.9782077459263
-9.04910031596091,-37.19250217878904,91.32574265976984,184.79028313498216
-8.319854672930887,-28.222095231937544,91.7516958214656,190.77514436178112
